date,opponent,competition,matchday,venue,home_away,spurs_score,opponent_score,result,player,rating,std_dev,is_motm,team_rating,team_rating_std,opponent_rating,opponent_rating_std,referee_rating,referee_rating_std,overall_rating
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Yves Bissouma,3.1,1.8,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Archie Gray,3.4,1.8,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Wilson Odobert,4.0,1.7,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Destiny Udogie,4.1,1.7,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Djed Spence,4.2,1.4,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Pape Matar Sarr,4.5,1.2,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Richarlison,4.5,1.7,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Pedro Porro,4.5,1.3,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Guglielmo Vicario,4.7,1.4,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Brennan Johnson,4.7,1.9,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Ben Davies,4.7,1.6,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Dominic Solanke,5.2,1.6,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Micky Van de Ven,5.5,1.7,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Kevin Danso,5.6,1.7,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Mathys Tel,5.9,1.7,False,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-25,Brighton,Premier League,Matchweek 38,Tottenham Hotspur Stadium,Home,1,3,L,Rodrigo Bentancur,6.4,2.0,True,3.0,1.3,7.4,1.0,5.5,2.0,4.69
2025-05-21,Manchester Utd,Europa Lg,Final,San Mamés Stadium,Neutral,1,0,W,Archie Gray,8.4,1.7,False,9.2,1.1,3.1,2.3,5.1,2.7,9.0
2025-05-21,Manchester Utd,Europa Lg,Final,San Mamés Stadium,Neutral,1,0,W,Heung-Min Son,8.4,1.8,False,9.2,1.1,3.1,2.3,5.1,2.7,9.0
2025-05-21,Manchester Utd,Europa Lg,Final,San Mamés Stadium,Neutral,1,0,W,Djed Spence,8.4,1.6,False,9.2,1.1,3.1,2.3,5.1,2.7,9.0
2025-05-21,Manchester Utd,Europa Lg,Final,San Mamés Stadium,Neutral,1,0,W,Guglielmo Vicario,8.7,1.5,False,9.2,1.1,3.1,2.3,5.1,2.7,9.0
2025-05-21,Manchester Utd,Europa Lg,Final,San Mamés Stadium,Neutral,1,0,W,Dominic Solanke,8.7,1.4,False,9.2,1.1,3.1,2.3,5.1,2.7,9.0
2025-05-21,Manchester Utd,Europa Lg,Final,San Mamés Stadium,Neutral,1,0,W,Rodrigo Bentancur,9.0,1.2,False,9.2,1.1,3.1,2.3,5.1,2.7,9.0
